"OrganismRowID"	"OrganismCodeMaster"	"CommonNameMaster"	"OrganismCodeSTN"	"FieldNameSTN"	"OrganismCodeMWT"	"FieldNameMWT"	"OrganismSymbol"	"Active"	"CommonName"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
104	21	"Pacific lamprey"	61	"PACLAMP"	10	"PLAMPREY"	"PL"	1	"Pacific Lamprey"	"NA"	"NA"	"NA"	"Petromyzontidae"	"Lampetra"	"tridentata"
105	2712	"Pacific pompano"	102		15	"PBUTTER"		1	"Pacific Butterfish"	"NA"	"NA"	"NA"	"Stromateidae"	"Peprilus"	"simillimus"
106	2675	"Pacific sand lance"						1							
107	3001	"Pacific sanddab"	103		17	"PSANDAB"		1	"Pacific Sanddab"	"NA"	"NA"	"NA"	"Bothidae"	"Citharichthys"	"sordidus"
108	1006	"Pacific sardine"	155		96	"PSARDINE"		1	"Pacific Sardine"	"NA"	"NA"	"NA"	"NA"	"Sardinops"	"sagax"
109	2407	"Pacific staghorn sculpin"	48	"STAGHORN"	30	"PSTGSCLP"		1	"Staghorn Sculpin"	"NA"	"NA"	"NA"	"Cottidae"	"Leptocottus"	"armatus"
110	1302	"Pacific tomcod"	104		18	"PTOMCOD"		1	"Pacific Tomcod"	"NA"	"NA"	"NA"	"Gadidae"	"Microgadus"	"proximus"
111	2414	"padded sculpin"						1							
112	2665	"painted greenling"						1							
113	5102	"Palaemon spp."	109		23	"PALAEMON"		1	"Palaemon"	"NA"	"NA"	"NA"	"Caridae"	"Palaemon"	"macrodactylus"
114	2826	"penpoint gunnel"						1							
115		"perches (Unid)"	43				"PER"	1	"Perches (Unid)"	"NA"	"NA"	"NA"	"Percidae"	"NA"	"NA"
116	2118	"pile perch"	115		47	"PILEPRCH"		1	"Pile Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Damalichthys"	"vacca"
117	1101	"pink salmon"	152					1	"Pink Salmon"	"NA"	"NA"	"NA"	"NA"	"Oncorhynchus"	"gorbuscha"
118	4032	"plainfin midshipman"	50	"PLNMIDSH"	14	"PMIDSHIP"	"50"	1	"Plainfin Midshipman"	"NA"	"NA"	"NA"	"Batrachoididae"	"Porichthys"	"notatus"
119	6075	"Pleurobrachia bachei"			107			1							
120	1824	"poacher (Unid)"						1							
121	6032	"Polyorchis penicillatus"	181	"POLYORCP"	105			1	"Polyorchis penicillatus"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
122	2813	"prickleback (Unid)"						1							
123	7191	"prickly sculpin"	49	"PRKSCULP"	73	"PRCKSCUL"	"49"	1	"Prickly Sculpin"	"NA"	"NA"	"NA"	"Cottidae"	"Cottus"	"asper"
124	7145	"pumpkinseed"	150					1	"Pumpkinseed"	"NA"	"NA"	"NA"	"NA"	"Lepomis"	"gibbosus"
125	1834	"pygmy poacher"						1							
126	2512	"queenfish"						1							
127	2112	"rainbow seaperch"						1							
128	7118	"rainwater killifish"	65	"RAINKILL"			"RK"	1	"Rainwater Killifish"	"NA"	"NA"	"NA"	"Fundulidae"	"Lucania"	"parva"
129	1641	"red brotula"						1							
130	2405	"red Irish lord"						1							
131	7061	"red shiner"	154					1	"Red Shiner"	"NA"	"NA"	"NA"	"NA"	"Cyprinella"	"lutrensis"
132	7144	"redear sunfish"	56		104		"RES"	1	"Redear Sunfish"	"NA"	"NA"	"NA"	"Centrarchidae"	"Lepomis"	"microlophus"
133	2103	"redtail surfperch"	134		46	"RTLSPRCH"		1	"Redtail Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Amphistichus"	"rhodoterus"
134		"riffle sculpin"	143		112			1	"Riffle Sculpin"	"NA"	"NA"	"NA"	"NA"	"Cottus"	"gulosus"
135	22	"river lamprey"	62	"RIVRLAMP"	11	"RLAMPREY"	"RL"	1	"River Lamprey"	"NA"	"NA"	"NA"	"Petromyzontidae"	"Lampetra"	"ayresi"
136	3108	"rock sole"	122		85	"ROCKSOLE"		1	"Rock Sole"	"NA"	"NA"	"NA"	"Pleuronectidae"	"Lepidopsetta"	"bilineata"
137	2398	"rockfish (Unid)"						1							
138	2677	"rockpool blenny"						1							
139	2117	"rubberlip seaperch"	128		44	"RUBLPRCH"		1	"Rubberlip Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Rhacochilus"	"toxotes"
140	7053	"Sacramento blackfish"	118		62	"SACBLAKF"		1	"Sacramento Blackfish"	"NA"	"NA"	"NA"	"Cyprinidae"	"Orthodon"	"microlepidotus"
